line,time_seconds,command,distance_xy_in,distance_xyz_in,estimated_ipm,bucket,raw
74,0.58,CG,1.0184797818168043,1.0184797818168043,6110.878690900826,planned,"CG, , 9.2415, 30.5807, 0.1409, -0.1237, , 1"
75,0.59,M3,9.409999999999998,9.409999999999998,56459.99999999999,planned,"M3, 18.6515, 30.5807, 0.4724"
76,0.6,CG,1.0189057216768678,1.0189057216768678,6113.434330061206,planned,"CG, , 18.7924, 30.517, 0, -0.1875, , 1"
77,0.61,M3,0.06270861184877231,0.06270861184877231,376.2516710926339,planned,"M3, 18.8338, 30.4699, 0.4724"
78,0.62,M3,0.04820591250043784,0.04820591250043784,289.235475002627,planned,"M3, 18.8708, 30.439, 0.4724"
79,0.63,M3,0.0480882522036302,0.0480882522036302,288.5295132217812,planned,"M3, 18.912, 30.4142, 0.4724"
80,0.64,M3,0.048225511920561626,0.048225511920561626,289.35307152336975,planned,"M3, 18.9567, 30.3961, 0.4724"
81,0.65,M3,0.04809833676957806,0.04809833676957806,288.5900206174683,planned,"M3, 19.0035, 30.385, 0.4724"
82,0.66,M3,0.05546692708272462,0.05546692708272462,332.80156249634774,planned,"M3, 19.0588, 30.3807, 0.4724"
83,0.67,M3,3.200499999999998,3.200499999999998,19202.99999999999,planned,"M3, 22.2593, 30.3807, 0.4724"
84,0.68,M3,0.0553672285743103,0.0553672285743103,332.20337144586176,planned,"M3, 22.3145, 30.385, 0.4724"
85,0.69,M3,0.04819564295659988,0.04819564295659988,289.17385773959927,planned,"M3, 22.3614, 30.3961, 0.4724"
86,0.7,M3,0.04822551192055833,0.04822551192055833,289.35307152334997,planned,"M3, 22.4061, 30.4142, 0.4724"
87,0.71,M3,0.0480882522036302,0.0480882522036302,288.5295132217812,planned,"M3, 22.4473, 30.439, 0.4724"
88,0.72,M3,0.04820591250044057,0.04820591250044057,289.2354750026434,planned,"M3, 22.4843, 30.4699, 0.4724"
89,0.73,M3,0.06270861184877231,0.06270861184877231,376.2516710926339,planned,"M3, 22.5257, 30.517, 0.4724"
90,0.74,CG,1.0184797818168019,1.0184797818168019,6110.878690900811,planned,"CG, , 22.6665, 30.5807, 0.1409, -0.1237, , 1"
91,0.75,M3,5.135000000000002,5.135000000000002,30810.000000000007,planned,"M3, 27.8015, 30.5807, 0.4724"
92,0.76,CG,1.0189057216768627,1.0189057216768627,6113.434330061176,planned,"CG, , 27.9424, 30.517, 0, -0.1875, , 1"
93,0.77,M3,0.06270861184877231,0.06270861184877231,376.2516710926339,planned,"M3, 27.9838, 30.4699, 0.4724"
94,0.78,M3,0.04820591250044057,0.04820591250044057,289.2354750026434,planned,"M3, 28.0208, 30.439, 0.4724"
95,0.79,M3,0.0480882522036302,0.0480882522036302,288.5295132217812,planned,"M3, 28.062, 30.4142, 0.4724"
96,0.8,M3,0.04822551192055833,0.04822551192055833,289.35307152334997,planned,"M3, 28.1067, 30.3961, 0.4724"
97,0.81,M3,0.048098336769581515,0.048098336769581515,288.5900206174891,planned,"M3, 28.1535, 30.385, 0.4724"
98,0.82,M3,0.05546692708272107,0.05546692708272108,332.8015624963265,planned,"M3, 28.2088, 30.3807, 0.4724"
99,0.83,M3,3.2005000000000017,3.2005000000000017,19203.00000000001,planned,"M3, 31.4093, 30.3807, 0.4724"
100,0.84,M3,0.0553672285743103,0.0553672285743103,332.20337144586176,planned,"M3, 31.4645, 30.385, 0.4724"
101,0.85,M3,0.048195642956596424,0.048195642956596424,289.1738577395785,planned,"M3, 31.5114, 30.3961, 0.4724"
102,0.86,M3,0.048225511920561626,0.048225511920561626,289.35307152336975,planned,"M3, 31.5561, 30.4142, 0.4724"
103,0.87,M3,0.0480882522036302,0.0480882522036302,288.5295132217812,planned,"M3, 31.5973, 30.439, 0.4724"
104,0.88,M3,0.04820591250043784,0.04820591250043784,289.235475002627,planned,"M3, 31.6343, 30.4699, 0.4724"
105,0.89,M3,0.06270861184877231,0.06270861184877231,376.2516710926339,planned,"M3, 31.6757, 30.517, 0.4724"
106,0.9,CG,1.0184797818167985,1.0184797818167985,6110.878690900791,planned,"CG, , 31.8165, 30.5807, 0.1409, -0.1237, , 1"
107,0.91,M3,0.7206999999999972,0.7206999999999972,4324.199999999983,planned,"M3, 32.5372, 30.5807, 0.4724"
108,0.92,CG,0.8835729338221293,0.8835729338221293,5301.437602932776,planned,"CG, , 32.7247, 30.3932, 0, -0.1875, , 1"
109,0.93,M3,8.119399999999999,8.119399999999999,48716.39999999999,planned,"M3, 32.7247, 22.2738, 0.4724"
110,0.94,CG,0.7203104863202224,0.7203104863202224,4321.862917921335,planned,"CG, , 32.3938, 22.153, -0.1875, 0, , 1"
